term_id,term_str,n,stop
341,members,1242,0
342,keep,1231,0
343,passed,1229,0
344,found,1227,0
345,effort,1223,0
346,once,1220,1
347,health,1216,0
348,look,1211,0
349,program,1203,0
350,able,1201,0
351,true,1200,0
352,either,1198,0
353,character,1195,0
354,secure,1187,0
355,q,1185,0
356,provide,1184,0
357,republic,1183,0
358,find,1181,0
359,times,1179,0
360,civil,1176,0
361,called,1173,0
362,cause,1171,0
363,reason,1170,0
364,prosperity,1166,0
365,special,1166,0
366,days,1165,0
367,different,1164,0
368,increased,1160,0
369,pay,1155,0
370,strong,1143,0
371,session,1142,0
372,lives,1140,0
373,respect,1139,0
374,call,1134,0
375,working,1131,0
376,whose,1128,0
377,strength,1127,0
378,jobs,1125,0
379,conditions,1124,0
380,little,1123,0
381,greater,1118,0
382,revenue,1117,0
383,principles,1111,0
384,europe,1106,0
385,vietnam,1102,0
386,lands,1101,0
387,private,1101,0
388,months,1100,0
389,navy,1099,0
390,efforts,1097,0
391,received,1091,0
392,point,1091,0
393,small,1091,0
394,responsibility,1088,0
395,soviet,1082,0
396,doing,1080,1
397,ought,1079,0
398,percent,1078,0
399,millions,1070,0
400,protect,1069,0
401,problems,1066,0
402,regard,1058,0
403,court,1055,0
404,nothing,1052,0
405,per,1050,0
406,education,1039,0
407,cost,1038,0
408,energy,1028,0
409,north,1013,0
410,value,1013,0
411,property,1009,0
412,governor,998,0
413,existing,988,0
414,principle,987,0
415,got,978,0
416,fiscal,978,0
417,brought,978,0
418,importance,975,0
419,set,974,0
420,local,974,0
421,provided,973,0
422,four,972,0
423,opinion,971,0
424,billion,969,0
425,confidence,968,0
426,equal,967,0
427,cases,960,0
428,line,960,0
429,women,960,0
430,debt,960,0
431,second,956,0
432,questions,954,0
433,job,950,0
434,agreement,949,0
435,resources,948,0
436,she,947,1
437,provision,946,0
438,live,944,0
439,aid,941,0
440,families,941,0
441,liberty,939,0
442,clear,938,0
443,commercial,938,0
444,old,936,0
445,young,934,0
446,capital,930,0
447,stand,928,0
448,ive,926,0
449,theyre,925,0
450,thing,923,0
451,measure,921,0
452,kind,920,0
453,recommend,919,0
454,proposed,919,0
455,prevent,918,0
456,message,918,0
457,thought,915,0
458,something,912,0
459,persons,908,0
460,community,908,0
461,established,907,0
462,nuclear,903,0
463,faith,903,0
464,due,902,0
465,vessels,896,0
466,form,895,0
467,required,895,0
468,experience,894,0
469,development,892,0
470,nearly,891,0
471,expenditures,891,0
472,lot,890,0
473,needs,888,0
474,city,887,0
475,held,887,0
476,especially,885,0
477,honor,884,0
478,almost,884,0
479,provisions,882,0
480,terms,878,0
481,early,877,0
482,election,877,0
483,problem,877,0
484,individual,877,0
485,tariff,875,0
486,industry,873,0
487,constitutional,872,0
488,left,871,0
489,budget,869,0
490,tell,869,0
491,open,869,0
492,independence,869,0
493,information,865,0
494,convention,864,0
495,soon,864,0
496,institutions,863,0
497,family,863,0
498,sure,861,0
499,parties,860,0
500,affairs,858,0
501,issue,855,0
502,including,853,0
503,arms,850,0
504,claims,847,0
505,real,845,0
506,china,844,0
507,ourselves,844,1
508,leaders,842,0
509,social,836,0
510,used,835,0
511,seen,834,0
512,desire,833,0
513,sense,831,0
514,around,831,0
515,troops,831,0
516,really,827,0
517,throughout,826,0
518,position,823,0
519,total,822,0
520,construction,822,0
521,fair,819,0
522,acts,818,0
523,growth,817,0
524,minister,817,0
525,british,816,0
526,necessity,816,0
527,seek,815,0
528,beyond,814,0
529,build,811,0
530,came,811,0
531,known,811,0
532,hand,805,0
533,whatever,805,0
534,maintain,804,0
535,purposes,802,0
536,require,801,0
537,exercise,799,0
538,bank,797,0
539,circumstances,792,0
540,god,789,0
541,alone,788,0
542,paid,787,0
543,face,787,0
544,weapons,785,0
545,results,785,0
546,away,785,0
547,americas,784,0
548,britain,783,0
549,east,781,0
550,rate,781,0
551,naval,781,0
552,least,779,0
553,serious,779,0
554,june,774,0
555,cut,772,0
556,reform,771,0
557,century,771,0
558,1,771,0
559,friends,770,0
560,vote,769,0
561,west,769,0
562,additional,768,0
563,hard,768,0
564,democratic,767,0
565,entire,767,0
566,banks,766,0
567,white,766,0
568,enough,765,0
569,feel,764,0
570,success,757,0
571,single,754,0
572,fully,754,0
573,return,752,0
574,senator,752,0
575,taxes,751,0
576,forward,751,0
577,off,750,1
578,domestic,749,0
579,person,748,0
580,situation,748,0
581,moment,747,0
582,across,743,0
583,judgment,741,0
584,recent,740,0
585,fellow,739,0
586,share,738,0
587,dollars,738,0
588,though,737,0
589,close,737,0
590,extent,734,0
591,whom,732,1
592,march,730,0
593,essential,728,0
594,half,727,0
595,gold,726,0
596,hold,726,0
597,side,725,0
598,abroad,725,0
599,cooperation,724,0
600,decision,724,0
601,reduction,723,0
602,republican,720,0
603,deal,720,0
604,organization,720,0
605,longer,715,0
606,object,715,0
607,conference,714,0
608,greatest,713,0
609,difficult,711,0
610,trust,711,0
611,rates,710,0
612,building,710,0
613,coming,708,0
614,30,707,0
615,credit,706,0
616,finally,705,0
617,leadership,705,0
618,example,704,0
619,cent,702,0
620,welfare,700,0
621,production,700,0
622,taking,699,0
623,settlement,697,0
624,district,696,0
625,lead,696,0
626,remain,696,0
627,doubt,694,0
628,cuba,691,0
629,indian,690,0
630,took,690,0
631,2,688,0
632,annual,688,0
633,leave,687,0
634,asked,686,0
635,operation,686,0
636,effective,683,0
637,establishment,683,0
638,favor,682,0
639,danger,682,0
640,products,680,0
641,words,679,0
642,appropriations,679,0
643,adopted,679,0
644,continued,679,0
645,safety,678,0
646,mean,676,0
647,hands,676,0
648,ready,675,0
649,permanent,674,0
650,price,673,0
651,influence,669,0
652,demand,669,0
653,immediate,669,0
654,democracy,668,0
655,pacific,665,0
656,workers,662,0
657,answer,661,0
658,programs,660,0
659,population,659,0
660,peoples,657,0
661,middle,656,0
662,carry,655,0
663,understand,654,0
664,ahead,653,0
665,citizen,651,0
666,slavery,651,0
667,basis,650,0
668,often,646,0
669,3,646,0
670,relief,640,0
671,class,639,0
672,majority,638,0
673,currency,637,0
674,fight,637,0
675,unless,636,0
676,independent,636,0
677,cities,635,0
678,pass,635,0
679,4,634,0
680,personal,634,0
681,allies,634,0
682,needed,631,0
683,except,630,0
684,complete,630,0
685,board,630,0
686,conduct,629,0
687,reduce,627,0
688,serve,627,0
689,spain,626,0
690,peaceful,624,0
691,process,624,0
692,receive,624,0
693,cant,624,0
694,engaged,623,0
695,direct,623,0
696,didnt,620,0
697,ships,619,0
698,schools,619,0
699,school,618,0
700,increasing,617,0
701,sum,617,0
702,islands,616,0
703,various,614,0
704,speak,614,0
705,met,614,0
706,violence,613,0
707,friendly,613,0
708,show,612,0
709,rather,611,0
710,direction,611,0
711,courts,611,0
712,benefit,610,0
713,third,609,0
714,negotiations,609,0
715,lost,608,0
716,market,608,0
717,five,608,0
718,above,607,1
719,major,605,0
720,manner,604,0
721,instead,602,0
722,portion,601,0
723,beginning,600,0
724,submitted,598,0
725,record,598,0
726,love,597,0
727,legislative,596,0
728,wrong,595,0
729,chief,595,0
730,adequate,594,0
731,facts,592,0
732,rule,592,0
733,promise,592,0
734,immediately,591,0
735,along,591,0
736,society,590,0
737,committed,590,0
738,improvement,587,0
739,chance,586,0
740,move,585,0
741,highest,585,0
742,safe,584,0
743,sufficient,582,0
744,living,579,0
745,believed,579,0
746,texas,578,0
747,lines,578,0
748,payment,577,0
749,higher,576,0
750,stop,576,0
751,talk,575,0
752,armed,574,0
753,body,574,0
754,sent,573,0
755,rest,573,0
756,thousands,573,0
757,authorized,573,0
758,growing,572,0
759,obligations,571,0
760,providing,570,0
761,appointed,569,0
762,proud,568,0
763,operations,568,0
764,meeting,567,0
765,silver,566,0
766,employment,566,0
767,big,566,0
768,seems,565,0
769,attack,564,0
770,ability,563,0
771,created,562,0
772,supply,561,0
773,limits,561,0
774,remember,561,0
775,late,560,0
776,financial,560,0
777,neither,560,0
778,coast,558,0
779,wish,558,0
780,conflict,558,0
781,nature,556,0
782,create,556,0
783,views,556,0
784,committee,555,0
785,youre,554,0
786,everything,553,0
787,task,552,0
788,prices,552,0
789,giving,551,0
790,officer,550,0
791,mind,550,0
792,presented,550,0
793,actual,549,0
794,anything,549,0
795,appropriation,549,0
796,particular,548,0
797,carried,548,0
798,although,547,0
799,crime,546,0
800,occasion,545,0
801,july,545,0
802,indians,545,0
803,advantage,545,0
804,race,544,0
805,reduced,544,0
806,agriculture,544,0
807,probably,543,0
808,bonds,543,0
809,consider,542,0
810,vice,542,0
811,reach,542,0
812,step,541,0
813,panama,541,0
814,places,541,0
815,supreme,541,0
816,perhaps,540,0
817,turn,540,0
818,successful,540,0
819,afford,539,0
820,enterprise,539,0
821,intercourse,538,0
822,subjects,538,0
823,france,537,0
824,choice,536,0
825,enemy,536,0
826,hundred,535,0
827,works,535,0
828,satisfactory,534,0
829,western,533,0
830,canal,532,0
831,10,531,0
832,reached,530,0
833,laughter,529,0
834,produce,528,0
835,territories,528,0
836,prepared,528,0
837,degree,528,0
838,indeed,528,0
839,parts,527,0
840,companies,527,0
841,wisdom,527,0
842,fear,526,0
843,food,526,0
844,following,526,0
845,final,525,0
846,expect,525,0
847,concerned,524,0
848,vast,524,0
849,responsible,522,0
850,departments,522,0
851,save,522,0
852,theres,521,0
853,communities,521,0
854,wise,521,0
855,january,520,0
856,central,520,0
857,5,519,0
858,balance,519,0
859,individuals,519,0
860,spending,519,0
861,try,519,0
862,values,518,0
863,short,518,0
864,greatly,517,0
865,involved,517,0
866,advance,517,0
867,based,516,0
868,campaign,516,0
869,industrial,514,0
870,former,514,0
871,none,514,0
872,told,514,0
873,similar,513,0
874,mutual,513,0
875,willing,513,0
876,resolution,511,0
877,yes,511,0
878,island,511,0
879,determined,510,0
880,date,509,0
881,field,509,0
882,week,509,0
883,steps,509,0
884,area,508,0
885,fighting,508,0
886,receipts,508,0
887,claim,507,0
888,crisis,507,0
889,preserve,506,0
890,recommendations,506,0
891,methods,506,0
892,ground,506,0
893,directed,505,0
894,attempt,505,0
895,ways,505,0
896,income,505,0
897,water,504,0
898,authorities,504,0
899,begin,503,0
900,benefits,502,0
901,month,501,0
902,ports,500,0
903,areas,499,0
904,u,499,0
905,vital,499,0
906,extended,499,0
907,went,498,0
908,deficit,498,0
909,fail,496,0
910,issues,496,0
911,objects,496,0
912,recently,495,0
913,legal,494,0
914,knowledge,494,0
915,sea,493,0
916,child,493,0
917,sound,493,0
918,s,493,1
919,surplus,493,0
920,statement,492,0
921,notes,492,0
922,understanding,492,0
923,entitled,491,0
924,revolution,490,0
925,november,489,0
926,agreed,489,0
927,section,488,0
928,join,488,0
929,natural,487,0
930,matters,486,0
931,age,486,0
932,evidence,485,0
933,moral,485,0
934,amendment,484,0
935,limited,484,0
936,defend,482,0
937,gave,482,0
938,estimated,482,0
939,river,482,0
940,makes,482,0
941,asia,482,0
942,built,481,0
943,previous,480,0
944,lets,480,0
945,earth,480,0
946,actually,479,0
947,struggle,479,0
948,recognize,478,0
949,issued,477,0
950,expressed,477,0
951,differences,477,0
952,official,475,0
953,policies,475,0
954,merely,475,0
955,iraq,474,0
956,addition,474,0
957,placed,473,0
958,recommended,473,0
959,jurisdiction,472,0
960,available,471,0
961,test,471,0
